iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_classes,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_momentum,algo_lrate_decay,algo_S,algo_R,algo_R_local
92,tensor(0.6396),0.464079886674881,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
93,tensor(0.6484),0.4625200629234314,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
94,tensor(0.6356),0.4627000391483307,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
95,tensor(0.6021),0.4632599651813507,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
96,tensor(0.6452),0.4691599905490875,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
97,tensor(0.5989),0.4622800052165985,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
98,tensor(0.6280),0.46713995933532715,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
99,tensor(0.6481),0.46577998995780945,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
100,tensor(0.6160),0.4671400189399719,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
101,tensor(0.6141),0.4697200059890747,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
102,tensor(0.6323),0.4690801203250885,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
103,tensor(0.5997),0.4726799726486206,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
104,tensor(0.6043),0.4723999798297882,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
105,tensor(0.5923),0.4666599631309509,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
106,tensor(0.6286),0.468360036611557,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
107,tensor(0.6328),0.4629800021648407,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
108,tensor(0.5963),0.46901991963386536,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
109,tensor(0.6135),0.46877995133399963,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
110,tensor(0.5897),0.4736599326133728,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
111,tensor(0.5625),0.4788800776004791,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
112,tensor(0.6005),0.48336005210876465,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
113,tensor(0.6014),0.48235997557640076,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
114,tensor(0.6236),0.4824599325656891,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
115,tensor(0.5806),0.4736200273036957,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
116,tensor(0.5947),0.4734000861644745,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
117,tensor(0.5911),0.48017996549606323,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
118,tensor(0.6118),0.4860600233078003,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
119,tensor(0.6022),0.48153990507125854,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
120,tensor(0.5911),0.48208004236221313,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
121,tensor(0.5968),0.4816199839115143,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
122,tensor(0.5878),0.4899999499320984,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
123,tensor(0.5974),0.4910799264907837,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
124,tensor(0.5570),0.488119900226593,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
125,tensor(0.5917),0.4861999750137329,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
126,tensor(0.5895),0.4906599819660187,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
127,tensor(0.5831),0.49346011877059937,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
128,tensor(0.5800),0.49476000666618347,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
129,tensor(0.5703),0.49321994185447693,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
130,tensor(0.5858),0.49758008122444153,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
131,tensor(0.6196),0.49313995242118835,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
132,tensor(0.5862),0.4990800619125366,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
133,tensor(0.5691),0.4962799549102783,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
134,tensor(0.5830),0.5001199245452881,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
135,tensor(0.5723),0.4976999759674072,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
136,tensor(0.5956),0.500999927520752,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
137,tensor(0.5714),0.49848002195358276,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
138,tensor(0.5486),0.4948800206184387,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
139,tensor(0.5492),0.49817994236946106,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
140,tensor(0.5653),0.5039401054382324,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
141,tensor(0.5914),0.5059600472450256,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
142,tensor(0.5737),0.5013399720191956,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
143,tensor(0.6130),0.5079400539398193,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
144,tensor(0.5708),0.506380021572113,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
145,tensor(0.5749),0.5063799619674683,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
146,tensor(0.5783),0.5044399499893188,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
147,tensor(0.5955),0.5104999542236328,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
148,tensor(0.5673),0.5057799816131592,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
149,tensor(0.5923),0.5056199431419373,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
150,tensor(0.5736),0.5096001029014587,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
151,tensor(0.5643),0.5116000175476074,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
152,tensor(0.5252),0.5130000710487366,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
153,tensor(0.5400),0.509880006313324,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
154,tensor(0.5596),0.5123999118804932,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
155,tensor(0.5654),0.5087999701499939,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
156,tensor(0.5384),0.508139967918396,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
157,tensor(0.5731),0.5035799741744995,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
158,tensor(0.5290),0.5126999616622925,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
159,tensor(0.5792),0.5160999894142151,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
160,tensor(0.5685),0.5114599466323853,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
