iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
98,8.26599797765414,1.9187132120132446,44.57041931152344,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
99,8.21698641459147,1.901506781578064,44.4151611328125,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
100,8.228839543660483,1.893192172050476,44.3924674987793,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
101,8.262793048222859,1.897058367729187,44.38302230834961,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
102,8.243694803317387,1.8996615409851074,44.4206428527832,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
103,8.221178104877472,1.894364833831787,44.38367462158203,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
104,8.211868818203609,1.9172860383987427,44.63312530517578,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
105,8.222071623802185,1.9342783689498901,44.771732330322266,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
106,8.25314372062683,1.931834101676941,44.768253326416016,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
107,8.278883229096731,1.9518671035766602,44.91172790527344,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
108,8.307984563906988,1.9523617029190063,44.91268539428711,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
109,8.28547316789627,1.9232479333877563,44.635005950927734,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
110,8.297577952543895,1.9269999265670776,44.671295166015625,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
111,8.316529232263566,1.9294155836105347,44.701717376708984,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
112,8.284722033341726,1.9339641332626343,44.73290252685547,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
113,8.230742168029149,1.9293091297149658,44.667274475097656,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
114,8.262467769384385,1.936174988746643,44.729888916015625,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
115,8.212462400992711,1.922309160232544,44.62996292114258,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
116,8.229608311653138,1.921391487121582,44.61448287963867,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
