iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
89,0.2085903982600818,0.6854089498519897,7.690916538238525,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
90,0.22815109259759386,0.6832101941108704,7.669546127319336,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
91,0.23336384081281722,0.6862003803253174,7.698441982269287,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
92,0.21742535205557942,0.6856784224510193,7.684638977050781,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
93,0.20519707226194442,0.6778643727302551,7.612396240234375,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
94,0.1981936181150377,0.6677795648574829,7.509594917297363,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
95,0.20144785131017368,0.662283718585968,7.453140735626221,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
96,0.21426903312404952,0.6523675918579102,7.35517692565918,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
97,0.2204701527611663,0.6558923721313477,7.377172946929932,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
98,0.2064220153198888,0.6618742942810059,7.442936420440674,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
99,0.18997551432500284,0.6583660244941711,7.410417079925537,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
100,0.2038348230998963,0.6553715467453003,7.394674777984619,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
101,0.1928068958533307,0.642716109752655,7.2662882804870605,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
102,0.19539155463067193,0.6339280605316162,7.180456638336182,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
103,0.18957552697509528,0.6263678669929504,7.102281093597412,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
104,0.19229890993330628,0.6238176822662354,7.070563316345215,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
