iter,algo_S_3.0_mean,algo_S_3.0_upper,algo_S_3.0_lower,algo_S_5.0_mean,algo_S_5.0_upper,algo_S_5.0_lower,algo_S_8.0_mean,algo_S_8.0_upper,algo_S_8.0_lower,algo_S_10.0_mean,algo_S_10.0_upper,algo_S_10.0_lower
68,108.62218287164339,109.04829889373583,108.19606684955095,107.15001798377179,107.51303310332577,106.78700286421781,106.11308336472527,106.61839184128822,105.60777488816233,104.90748683400508,105.23150430878844,104.58346935922172
69,109.32871886416186,109.58092482121768,109.07651290710604,107.18794945762707,107.50703965247082,106.86885926278332,106.01643406882715,106.37839231051501,105.6544758271393,105.60918576171721,105.9408840500347,105.27748747339973
70,109.19791393732123,109.64562767571486,108.7502001989276,107.31503807695879,107.5682552425123,107.06182091140528,105.99168849957422,106.43222229151296,105.55115470763549,105.04785900281044,105.48037440065995,104.61534360496093
71,108.79968225295893,109.09341154582987,108.505952960088,106.56129358426162,106.81319496443413,106.30939220408911,105.52443302312138,106.05996494555451,104.98890110068824,105.0114428303038,105.37447049780987,104.64841516279775
72,109.22842650301887,109.44468181451708,109.01217119152065,106.83008756921262,107.18976425437062,106.47041088405463,106.49209853975992,106.92771233234171,106.05648474717813,104.88945348752813,105.29103651058281,104.48787046447345
73,108.52686824171735,108.88589310470381,108.1678433787309,107.13151507504183,107.42596301642727,106.83706713365639,105.22465124285368,105.69215650161507,104.75714598409229,105.0012517832145,105.27462414159437,104.72787942483463
74,108.90874785471856,109.20753521428588,108.60996049515123,107.5401359575055,107.8242165987474,107.2560553162636,105.34737307704113,105.70708491734572,104.98766123673653,105.06648269022773,105.44319865293755,104.6897667275179
75,108.86333274660626,109.25925750013374,108.46740799307878,107.03966073926838,107.29706221525628,106.7822592632805,105.69494342907392,106.10568167181347,105.28420518633436,104.68988400041016,105.06522771390648,104.31454028691384
76,108.55331954599646,108.73750132505997,108.36913776693295,106.87035879008567,107.36583688983666,106.37488069033469,105.45222831102576,105.80803693379711,105.09641968825441,105.03401341770454,105.61106509833165,104.45696173707744
77,109.04416817780164,109.32161054759422,108.76672580800906,106.63947299297902,107.04316492064193,106.23578106531612,105.63086881527178,106.03580685011232,105.22593078043124,104.72237468727795,105.02364018302116,104.42110919153474
78,108.60975891151797,109.02544103996124,108.1940767830747,106.54583511242186,106.90517971018046,106.18649051466325,105.40390032711544,105.87660151983464,104.93119913439624,104.52169888652489,104.87095799235347,104.17243978069631
79,108.68261606585614,108.91932895202564,108.44590317968664,107.144175655139,107.50273360798538,106.78561770229261,105.3617649913817,105.92852487268118,104.79500511008223,104.87284711085381,105.35083012212603,104.3948640995816
80,108.61106801909925,108.81514803412341,108.40698800407509,106.89383253130495,107.2539403433241,106.5337247192858,105.15146396378483,105.62520679916578,104.67772112840389,105.00217522346061,105.35114617862308,104.65320426829814
81,108.77161298447686,109.09652647703199,108.44669949192173,106.72767218602405,107.13348117835464,106.32186319369346,105.49294941232938,105.89084551410829,105.09505331055047,104.36871336359494,104.62377161983042,104.11365510735945
82,108.89938007220628,109.3643905734621,108.43436957095047,107.16600231715825,107.43210101713271,106.89990361718378,105.32340790489016,105.62313552129673,105.02368028848359,104.81792612523061,105.01163429976056,104.62421795070067
83,108.7247758517592,108.96339285680274,108.48615884671567,106.73966181273006,107.086773467167,106.39255015829312,104.95580938500916,105.26535987700026,104.64625889301806,104.53435060835493,104.88575520436392,104.18294601234594
84,109.33432078060362,109.66822608395488,109.00041547725236,107.16650090570712,107.51216527599163,106.82083653542261,105.08841897451926,105.36802673048781,104.8088112185507,104.40242240391274,104.6445136432166,104.16033116460888
85,108.67806599235102,108.95050432285598,108.40562766184607,106.39905780516874,106.68181144999863,106.11630416033884,105.39515268324257,105.74687766140343,105.04342770508171,104.14254451888647,104.3902563857881,103.89483265198483
86,108.83885751328403,109.16918399209533,108.50853103447272,106.4821323307984,106.77494495294827,106.18931970864851,105.17022329441504,105.51506984420953,104.82537674462054,104.8523545497197,105.10014106664,104.6045680327994
87,108.11409994380081,108.45125646024916,107.77694342735246,106.599661136543,106.92409424621404,106.27522802687197,105.13220078677537,105.4348092071819,104.82959236636884,103.99780824912355,104.24616405714427,103.74945244110283
88,108.63862194779286,109.05596981542604,108.22127408015967,105.88510467065548,106.27869978182288,105.49150955948808,105.18619958985737,105.51472146220026,104.85767771751448,104.60296037402404,104.8540729226123,104.35184782543577
89,109.15389663868523,109.59158242340251,108.71621085396794,106.69294503830318,107.08465356864963,106.30123650795673,105.39837822533612,105.75181352085653,105.0449429298157,104.33109486172437,104.578669892527,104.08351983092173
90,109.11895599878804,109.64414249460124,108.59376950297484,106.86597888406797,107.17443311058823,106.55752465754772,105.2138519133645,105.48091780885738,104.9467860178716,104.37728327600766,104.6488856887488,104.10568086326651
91,108.56458190195163,108.97253180645248,108.15663199745077,107.31454774834353,107.74448967591096,106.8846058207761,105.16259882720055,105.4669711048866,104.85822654951451,104.5518282856716,104.7611114163008,104.3425451550424
92,108.52981850763513,108.82378544114809,108.23585157412217,106.3901623076188,106.7394758058455,106.04084880939209,104.98847936015116,105.2546819650422,104.72227675526013,104.5869891427207,104.93720545624699,104.23677282919441
93,108.95093085353335,109.30356780382562,108.59829390324109,106.66386080792404,106.82427886571826,106.50344275012982,105.1520853030054,105.55811919882024,104.74605140719058,104.47083168235216,104.77626267553605,104.16540068916827
94,108.79649697845059,109.07221869630943,108.52077526059175,106.94122756290605,107.2370105276231,106.645444598189,104.73946195904223,105.08421462463852,104.39470929344594,104.02743387983863,104.35850810490011,103.69635965477714
95,108.52577829690206,108.94302964206825,108.10852695173587,106.26482709319203,106.6651117331131,105.86454245327096,104.59302847686392,104.95535698777196,104.23069996595588,104.19428038482435,104.37774783027899,104.01081293936971
96,108.72970686595309,109.10572074443456,108.35369298747162,106.90611675961209,107.17174336830229,106.64049015092189,105.15952638810668,105.52192234854809,104.79713042766528,104.47700035396772,104.87817290083582,104.07582780709963
97,109.18289826996906,109.55083681653973,108.81495972339839,106.48803232328017,106.81137615854817,106.16468848801216,104.95678671736864,105.19284063227329,104.720732802464,104.38870864374655,104.7712208159169,104.0061964715762
98,108.87201484679144,109.20871490981558,108.5353147837673,106.75662497723195,107.1700922662012,106.3431576882627,105.07183079640276,105.48046977367011,104.66319181913542,104.26683459987889,104.6306495489945,103.90301965076328
99,107.95082579566039,108.30692626497822,107.59472532634257,106.11126663355185,106.44025281837602,105.78228044872768,104.80596400633586,104.99485898576401,104.6170690269077,104.10900174344947,104.44341915453977,103.77458433235917
100,108.59362648434146,109.03661434793344,108.15063862074948,106.84054759576084,107.2916498463867,106.38944534513497,104.90357257035996,105.3060428098855,104.50110233083441,104.39695591786321,104.61253513696006,104.18137669876636
101,108.8064441183453,109.23670807684132,108.37618015984927,106.61524319111945,107.04146584515324,106.18902053708565,105.20753191023303,105.68436714335468,104.73069667711138,104.12084391596338,104.50372370164314,103.73796413028361
102,108.36144308456082,108.61793742413688,108.10494874498475,106.59466921264243,106.89098487621148,106.29835354907338,104.51055915103197,104.88437057680278,104.13674772526116,104.10401004108935,104.48007520331232,103.72794487886638
103,108.59984502317161,108.87016805471389,108.32952199162933,107.17483351397668,107.40983767345999,106.93982935449337,104.82483545341549,105.18406628576057,104.46560462107041,103.69812149689605,103.99405026100038,103.40219273279172
104,108.57116046642048,108.97118437250624,108.17113656033472,106.79620694218787,107.0906789564489,106.50173492792683,104.81996497538043,105.20239707642732,104.43753287433354,104.37771538229897,104.72833287343417,104.02709789116378
105,108.25962361509971,108.48809324877536,108.03115398142407,106.94068839561385,107.22858781341641,106.65278897781128,104.81319938946315,105.13681147232765,104.48958730659865,103.57356645118696,103.85097373172681,103.29615917064712
106,108.4695256355224,108.8096735315892,108.1293777394556,106.51634324802342,106.73878463887871,106.29390185716812,105.575834860849,105.80633061277268,105.34533910892532,104.4763134320815,104.83853745161058,104.11408941255242
107,108.68305812623139,109.09223157810185,108.27388467436093,106.60888086602056,107.03239066115869,106.18537107088243,104.83025093821884,105.10019110716645,104.56031076927123,104.03932720502507,104.36217500768875,103.7164794023614
108,108.48565093645384,108.72440510401294,108.24689676889473,107.06729038178196,107.43607993843975,106.69850082512417,104.96254431816871,105.17454510937272,104.7505435269647,104.12719125492727,104.48426554768905,103.77011696216549
109,108.2957469056109,108.64372520300118,107.94776860822061,106.47056917754779,106.9764012029485,105.96473715214708,105.09732683354439,105.54715197767916,104.64750168940961,104.19118539534486,104.51319282804036,103.86917796264936
110,108.61327053007858,109.09729027326883,108.12925078688833,106.63210476247184,107.15335639285793,106.11085313208575,104.90653457658941,105.24499462201409,104.56807453116473,104.34746316278456,104.76056625154558,103.93436007402354
111,108.71821131790118,109.08223325332023,108.35418938248213,106.77581750165946,107.30076164670635,106.25087335661257,105.14720215918783,105.70766762019177,104.58673669818388,104.80473725342827,105.20340542230309,104.40606908455345
112,108.39480818154905,108.76323865173723,108.02637771136088,106.56058975128663,107.0189151612292,106.10226434134405,104.9093363230244,105.33731058431981,104.481362061729,104.41411776875186,104.8611477195753,103.96708781792843
113,108.81013632203549,109.13648343821171,108.48378920585927,106.12309929826844,106.57267631149456,105.67352228504232,104.39032769949024,104.61332611066749,104.167329288313,104.48994465878525,104.92765496304537,104.05223435452513
114,108.46461884971356,108.91233544595117,108.01690225347595,106.5768219450093,106.90129912346899,106.25234476654961,104.4395549794558,104.74187494825806,104.13723501065355,104.02892420543958,104.40270917726635,103.65513923361281
115,108.49792267375975,108.83524439912078,108.16060094839871,106.86962686809277,107.34640112236096,106.39285261382457,104.46867422230476,104.87375281637544,104.06359562823407,104.44955981089099,104.81122257696137,104.08789704482061
116,108.39214091880635,108.79516152433213,107.98912031328057,106.83017041835936,107.09679399411277,106.56354684260594,104.32911046931729,104.85095492341918,103.80726601521539,104.20383108620088,104.5619002387117,103.84576193369006
117,107.82232102657267,108.05659572396013,107.5880463291852,106.50408714776817,106.7666046524705,106.24156964306584,104.44951640384288,104.88139646709642,104.01763634058933,104.32685009888442,104.6169253267858,104.03677487098304
118,107.92379714578765,108.26686968634986,107.58072460522543,107.20849147924864,107.69872103743012,106.71826192106715,104.84945391598612,105.26286289902124,104.43604493295099,104.16643707182463,104.63408231005612,103.69879183359315
119,107.78573141977913,108.24021775320864,107.33124508634961,106.27919415808825,106.72108990494576,105.83729841123073,104.42434925737825,104.75583652350525,104.09286199125125,104.29814425657817,104.53236679928679,104.06392171386955
120,108.23582891211802,108.64699529335009,107.82466253088596,106.20517376809111,106.56426620023225,105.84608133594998,104.56580102083751,104.77186786263128,104.35973417904374,104.38804901164065,104.79919265057771,103.97690537270358
121,108.28140746026295,108.62994551727992,107.93286940324599,106.54021525996048,106.8136080741123,106.26682244580866,104.66514459223609,105.08804777984525,104.24224140462692,103.78614543260213,104.33304679368406,103.23924407152019
122,108.78192289487724,109.0784425635657,108.48540322618878,106.49308393921731,106.98886288706053,105.9973049913741,104.75583001128773,105.06698342303373,104.44467659954172,104.07763869045104,104.4735058074539,103.68177157344817
123,108.96193233765216,109.22311330883339,108.70075136647093,105.96297089190337,106.3306430734267,105.59529871038004,104.60078345582733,104.91412521169256,104.28744169996209,103.69715812908692,104.00612336181766,103.38819289635617
124,108.6563890807477,108.9857011544301,108.3270770070653,106.27587095721758,106.59815586202481,105.95358605241034,103.9231240911198,104.24446575527516,103.60178242696445,103.62208255592277,103.93397113761083,103.31019397423472
125,108.18763137661047,108.4242576990284,107.95100505419254,106.63770353990927,106.82558422143235,106.44982285838618,105.02853094190377,105.46665437340862,104.59040751039892,103.80004970119168,104.09993566287332,103.50016373951004
126,108.3087160937414,108.67475500424459,107.9426771832382,106.28996181784589,106.56366409634134,106.01625953935044,104.21033315273371,104.76108407242478,103.65958223304264,103.90097062735649,104.25227032943312,103.54967092527986
127,108.432751126513,108.72234655211349,108.1431557009125,106.18711888048878,106.51603942621139,105.85819833476617,104.47706412478738,104.83261934946937,104.12150890010538,103.7246379805542,104.05058741909518,103.39868854201323
128,108.5512339631182,108.93933280813849,108.1631351180979,106.34758623125931,106.68067068082632,106.0145017816923,104.37969657743206,104.66610816599766,104.09328498886646,103.86289181048475,104.16370404417083,103.56207957679868
129,108.25808181739933,108.50051979778885,108.0156438370098,106.43998680058226,106.73295407576359,106.14701952540094,105.05391368931328,105.33094986620604,104.77687751242051,104.33692350877118,104.70252096059993,103.97132605694243
130,107.9201949741749,108.14886878903343,107.69152115931638,107.31705748043476,107.63097530118971,107.0031396596798,105.14460462039058,105.54314466747059,104.74606457331058,104.08511564577573,104.30768341606522,103.86254787548624
131,108.81886766594982,109.18742987260066,108.45030545929899,106.25409142273907,106.6955510522608,105.81263179321734,104.68965614969628,104.95656350177205,104.4227487976205,103.83571514134886,104.25346505873138,103.41796522396633
132,107.79729665490156,108.13428061008148,107.46031269972164,106.365077911432,106.66812413925418,106.06203168360982,104.70452789050321,105.0918037002547,104.31725208075173,103.64399257128477,103.99152745961577,103.29645768295377
133,108.00705072810756,108.41406017920454,107.60004127701058,106.2319730710243,106.52208106666318,105.94186507538542,104.7731006868997,105.21331999818639,104.332881375613,103.85471510442142,104.16756443190884,103.54186577693399
134,107.85309514142114,108.08764884376036,107.61854143908191,106.12850155684605,106.46598027052302,105.79102284316907,104.25821676386688,104.53060130613477,103.985832221599,103.72856351401757,104.11778336062322,103.33934366741191
135,108.53308423489575,109.0397045831138,108.0264638866777,106.2573584850647,106.5765298145402,105.9381871555892,105.04774219125852,105.52636262531415,104.5691217572029,104.09094393593541,104.60640359396787,103.57548427790296
136,108.44530312643022,108.9020612157071,107.98854503715333,106.56008727429057,106.82828721164408,106.29188733693705,104.72235133776591,105.10455655751609,104.34014611801574,104.03513869705591,104.21868059055254,103.85159680355929
