iter,data_n_clusters_2.0_mean,data_n_clusters_2.0_upper,data_n_clusters_2.0_lower,data_n_clusters_3.0_mean,data_n_clusters_3.0_upper,data_n_clusters_3.0_lower,data_n_clusters_5.0_mean,data_n_clusters_5.0_upper,data_n_clusters_5.0_lower,data_n_clusters_10.0_mean,data_n_clusters_10.0_upper,data_n_clusters_10.0_lower
60,0.060008149594068486,0.06088681545337611,0.05912948373476086,0.26823960840702055,0.27170795297156597,0.2647712638424751,0.6104815363883972,0.616031837644149,0.6049312351326454,1.018840527534485,1.0227936558561117,1.0148873992128582
61,0.05783433653414245,0.05870339819198747,0.056965274876297434,0.26612468957901003,0.27052340253152524,0.2617259766264948,0.6057273209095001,0.6103452787291472,0.601109363089853,1.0099530398845673,1.01326231653823,1.0066437632309047
62,0.05570611283183093,0.056725002642779604,0.05468722302088226,0.2629719004034996,0.267123151698345,0.2588206491086542,0.598257327079773,0.6038859063453609,0.5926287478141851,1.0052201271057128,1.008821016661052,1.0016192375503736
63,0.05473152399063106,0.055716400130574176,0.053746647850687945,0.2612650439143181,0.26544735448287976,0.25708273334575643,0.5932287752628327,0.5994296835600308,0.5870278669656346,1.0050014674663543,1.009572613990849,1.0004303209418597
64,0.05288763344287867,0.05396950715642886,0.05180575972932847,0.25963450521230697,0.2636327554310295,0.25563625499358444,0.5847347736358642,0.5910468651226336,0.5784226821490949,0.9987112164497376,1.0025152599646194,0.9949071729348558
65,0.051875228434801045,0.052883695002827406,0.05086676186677468,0.25567598044872286,0.25977553948413235,0.2515764214133134,0.5805735290050507,0.5873942804535719,0.5737527775565294,0.9937925159931182,0.9971798893552768,0.9904051426309597
66,0.05106793716549868,0.052223973234940185,0.04991190109605717,0.25204008221626284,0.25520057177011973,0.24887959266240592,0.5742145717144013,0.581644094500993,0.5667850489278096,0.9943866431713104,0.9987802961344757,0.9899929902081451
67,0.04967778883874412,0.05101642211485159,0.048339155562636654,0.24670012146234513,0.24995353245986235,0.2434467104648279,0.5686259150505066,0.5766563046334463,0.560595525467567,0.9872438013553619,0.9917711187257195,0.9827164839850043
68,0.04788533151149745,0.04912720212182343,0.046643460901171475,0.24189676940441127,0.24593691362434764,0.2378566251844749,0.5635646641254425,0.5711258379532645,0.5560034902976204,0.9812791585922241,0.9849640000914122,0.9775943170930361
69,0.046956065297126724,0.04824194204152588,0.045670188552727566,0.23964279741048808,0.24360611599056245,0.2356794788304137,0.5599631249904633,0.5672697767189564,0.5526564732619702,0.9791392683982849,0.9830324153481447,0.9752461214484252
70,0.046968927606940235,0.048322940846364446,0.045614914367516024,0.23754317611455916,0.2414036093643033,0.23368274286481502,0.5583730340003967,0.5658594384177834,0.55088662958301,0.9760899841785431,0.9798992870462573,0.9722806813108289
71,0.045655915886163675,0.047058199291427065,0.044253632480900286,0.23275458812713623,0.23658622816418512,0.22892294809008734,0.550476661324501,0.5583605439475858,0.5425927787014162,0.9718218624591828,0.9759728262580023,0.9676708986603633
72,0.04433774836361405,0.045629270809164166,0.04304622591806394,0.2314795270562172,0.2353320424440201,0.2276270116684143,0.545736762881279,0.5546488650228721,0.5368246607396859,0.9683319330215454,0.9727898974339099,0.963873968609181
73,0.04384468793869016,0.04492243692536169,0.04276693895201863,0.22895156294107438,0.23280560413626908,0.2250975217458797,0.5439063221216202,0.5527258893653938,0.5350867548778465,0.9643694877624511,0.9681503286629778,0.9605886468619245
74,0.04289972633123393,0.043735720784828916,0.04206373187763894,0.22599893510341645,0.22975234989388613,0.22224552031294678,0.5408606618642807,0.5497775338001606,0.5319437899284009,0.9631848037242889,0.9676609411486836,0.9587086662998943
75,0.04155767671763892,0.04245437611249531,0.04066097732278254,0.2245585560798645,0.22853689396260682,0.22058021819712217,0.5381980121135712,0.5472127698155449,0.5291832544115975,0.9638017892837525,0.9698583426318698,0.9577452359356352
76,0.04063513390719884,0.04143312036862577,0.03983714744577191,0.22374175041913982,0.2277210957375886,0.21976240510069103,0.5395219087600708,0.5470073965750362,0.5320364209451054,0.9625961124897003,0.9693762315429733,0.9558159934364274
77,0.04000272713601585,0.040724871717677746,0.03928058255435396,0.220993472635746,0.2251241765489575,0.21686276872253452,0.5318949222564697,0.5382949503702058,0.5254948941427336,0.9573610901832581,0.9634040338980103,0.9513181464685059
78,0.03949141204357143,0.0403409051991735,0.038641918887969355,0.21887764036655422,0.22280736187706937,0.21494791885603906,0.5262703776359559,0.5341585715264602,0.5183821837454515,0.9554917216300964,0.9613435106255531,0.9496399326346397
79,0.03910652324557301,0.03981716160336186,0.038395884887784164,0.2168278142809868,0.21992598506219457,0.21372964349977902,0.5260311186313629,0.5337088660311454,0.5183533712315803,0.9520147264003753,0.9576087727263983,0.9464206800743523
80,0.03833069615066047,0.039050023348411275,0.03761136895290966,0.21596754342317576,0.2187513569144031,0.21318372993194842,0.5240161836147308,0.5321558711734881,0.5158764960559735,0.9472447693347931,0.9540059335441425,0.9404836051254436
