iter,data_n_features_2.0_mean,data_n_features_2.0_upper,data_n_features_2.0_lower,data_n_features_10.0_mean,data_n_features_10.0_upper,data_n_features_10.0_lower,data_n_features_50.0_mean,data_n_features_50.0_upper,data_n_features_50.0_lower,data_n_features_100.0_mean,data_n_features_100.0_upper,data_n_features_100.0_lower
60,0.02115198969840998,0.02141932297943911,0.020884656417380847,0.5202730655670166,0.5215130274746848,0.5190331036593484,1.6292831420898437,1.6353926373238892,1.6231736468557982,3.3113170862197876,3.3288010172502345,3.2938331551893407
61,0.018949379399418778,0.01919940912680383,0.018699349672033728,0.49863111674785615,0.5000214804463402,0.49724075304937215,1.597736942768097,1.6035167482088344,1.5919571373273596,3.27725203037262,3.295047114444396,3.2594569463008436
62,0.01694077700376506,0.017174895940588613,0.016706658066941504,0.4776660978794098,0.4790374560803233,0.4762947396784963,1.5656840562820435,1.5709226177945574,1.5604454947695297,3.238969850540161,3.2564589591595174,3.2214807419208045
63,0.015132631361484466,0.015338552193603645,0.014926710529365287,0.45761305689811704,0.45884016432909963,0.45638594946713446,1.5324258685112,1.5376614749473498,1.5271902620750502,3.202668070793152,3.219481452354329,3.1858546892319746
64,0.013522261567413759,0.013717576521044024,0.013326946613783494,0.43886980712413787,0.44007261202833275,0.437667002219943,1.5014013767242431,1.50671292547132,1.4960898279771662,3.1680687427520753,3.1847711207881164,3.151366364716034
65,0.012063912674784618,0.01224530577201331,0.011882519577555926,0.4211289197206497,0.42237260136563803,0.41988523807566136,1.4708027958869934,1.4762575690979771,1.4653480226760096,3.1325906991958616,3.1500379422638547,3.1151434561278686
66,0.01075427131727333,0.01092091083740683,0.01058763179713983,0.40378730595111845,0.40491718089901085,0.40265743100322604,1.4406582951545714,1.4461359850238582,1.4351806052852847,3.099847340583801,3.1171203137276997,3.0825743674399027
67,0.00958082610741253,0.009727768368043396,0.009433883846781663,0.38806757628917693,0.3890902666074013,0.38704488597095255,1.4110833168029786,1.417161389269898,1.4050052443360592,3.0667418956756594,3.08470523509667,3.0487785562546486
68,0.008530445862561409,0.008670241900579708,0.00839064982454311,0.3726923823356628,0.37376659889474406,0.3716181657765816,1.3834130883216857,1.389758380219054,1.3770677964243174,3.0337342262268066,3.0516871261754,3.015781326278213
69,0.007624898618087112,0.007757533948898447,0.007492263287275776,0.35823656618595123,0.3593366567731844,0.3571364755987181,1.3554375290870666,1.361886350332033,1.3489887078421001,3.0017252445220945,3.020216168365529,2.98323432067866
70,0.006821063067764001,0.006943116974716038,0.006699009160811963,0.34426205456256864,0.34546179259546167,0.3430623165296756,1.3292712450027466,1.335914252563933,1.3226282374415603,2.970296931266785,2.9890169486003964,2.9515769139331733
71,0.00611729496158655,0.006226616026248379,0.00600797389692472,0.3317773938179016,0.3327897734869118,0.3307650141488914,1.3037949442863463,1.3103752044381407,1.297214684134552,2.9360919713974,2.9559893135059854,2.916194629288815
72,0.00550200249999757,0.005601345740001848,0.005402659259993292,0.318926066160202,0.3199715640740691,0.3178805682463349,1.2776546716690063,1.2842434800017677,1.2710658633362448,2.9069521903991697,2.926843053845984,2.8870613269523555
73,0.00498145958408708,0.005073052667260203,0.004889866500913957,0.30648823380470275,0.3075649997325094,0.3054114678768961,1.2517976760864258,1.2583263975120615,1.24526895466079,2.877031683921814,2.8967343675382144,2.8573290003054135
74,0.00451350151561193,0.0045987814338289005,0.00442822159739496,0.2945939272642136,0.2955600190139829,0.29362783551444427,1.2268696069717406,1.2333420515008784,1.2203971624426029,2.8472703456878663,2.86660978838077,2.8279309029949626
75,0.00411827100906516,0.004193750325307882,0.004042791692822438,0.28389431834220885,0.28496942708139134,0.28281920960302637,1.202354407310486,1.2087097121010082,1.1959991025199637,2.8167783498764036,2.836237355618894,2.7973193441339133
76,0.0037929138168692105,0.0038626714015143906,0.0037231562322240304,0.27430367171764375,0.2753000123247505,0.273307331110537,1.1784787058830262,1.18485966381624,1.1720977479498123,2.7878721952438354,2.806121790524121,2.76962259996355
77,0.0035289727151393397,0.003593718790431258,0.0034642266398474215,0.26452615559101106,0.26555003334111205,0.26350227784091007,1.1552819609642029,1.1616457339033768,1.148918188025029,2.75844566822052,2.77614347934283,2.7407478570982096
78,0.0033149666152893996,0.0033756330587843613,0.003254300171794438,0.25503664910793306,0.2560666724264312,0.2540066257894349,1.1321102857589722,1.1383608977114044,1.12585967380654,2.728925085067749,2.747036875156517,2.710813294978981
79,0.0031450956128537093,0.003202782206446785,0.0030874090192606336,0.2464593574404716,0.24755273511542303,0.24536597976552016,1.1094094514846802,1.1155596573144908,1.1032592456548695,2.702082324028015,2.7195065893941486,2.6846580586618813
80,0.0030134330270811397,0.003071257862197339,0.0029556081919649402,0.2378082618117332,0.23879075167327593,0.23682577195019047,1.0886070489883424,1.094888245247049,1.0823258527296358,2.675087547302246,2.6930312323315415,2.657143862272951
81,0.0029207916697486696,0.0029760197129198463,0.002865563626577493,0.22995298802852626,0.230932586918101,0.22897338913895152,1.0667345643043518,1.0729112563214938,1.0605578722872098,2.6500640153884887,2.6681591634977178,2.6319688672792596
82,0.0028643161058425405,0.002916195914110235,0.002812436297574846,0.22224890589714047,0.22319864051190114,0.2212991712823798,1.0448572754859924,1.0509390251228312,1.0387755258491536,2.6247143507003785,2.642773472610892,2.606655228789865
83,0.00284082237631078,0.0028942140177471314,0.0027874307348744287,0.21541946530342101,0.2161644647422236,0.21467446586461844,1.0234109878540039,1.0295531845374444,1.0172687911705633,2.59775025844574,2.615649605030003,2.579850911861477
84,0.002849243953824,0.0029022167387204546,0.002796271168927545,0.20826444625854487,0.20897666323236946,0.20755222928472028,1.0032262682914734,1.0095548541848756,0.9968976823980712,2.5729296684265135,2.591216205287568,2.554643131565459
85,0.0028889545239507604,0.002943495466602376,0.0028344135812991447,0.2023120284080505,0.20306311409584116,0.20156094272025982,0.9836559057235718,0.9898689114594804,0.9774428999876631,2.5444413900375364,2.5631193159595447,2.525763464115528
86,0.00294679433573032,0.0030022650789263195,0.00289132359253432,0.19634225517511367,0.19705417341438525,0.1956303369358421,0.9651941776275634,0.9715738321120787,0.9588145231430482,2.5175697088241575,2.536880266650367,2.498259150997948
87,0.0030313884373753697,0.003087006585035685,0.0029757702897150544,0.19047741144895552,0.1911813037758032,0.18977351912210785,0.945750641822815,0.9521126079210335,0.9393886757245965,2.4941524982452394,2.5133830116461233,2.4749219848443555
88,0.00312817425001408,0.0031851769347805074,0.003071171565247652,0.18511042445898054,0.1856621288400548,0.18455872007790627,0.927065110206604,0.9335875714925379,0.9205426489206701,2.4688798904418947,2.4881771024718753,2.449582678411914
89,0.0032450879225506698,0.003301218446890083,0.0031889573982112566,0.17954479604959486,0.1800834475765139,0.17900614452267583,0.9090308427810669,0.9155068528522173,0.9025548327099165,2.4459259033203127,2.465722058829291,2.426129747811334
90,0.00337093267589801,0.0034280437816579493,0.0033138215701380706,0.17426220029592512,0.17474440631291868,0.17377999427893157,0.8917950332164765,0.89821848213994,0.8853715842930129,2.4237399101257324,2.4436349766218055,2.4038448436296593
91,0.0035154274431988103,0.003570977162643591,0.00345987772375403,0.16926492303609847,0.1696231883199813,0.16890665775221564,0.875198245048523,0.8818565459101539,0.868539944186892,2.4010037422180175,2.420459570748684,2.381547913687351
92,0.003673931839875819,0.003731024984060012,0.003616838695691626,0.16470644921064376,0.16525630586564372,0.1641565925556438,0.8579892575740814,0.8648431914922518,0.851135323655911,2.3781582832336428,2.3973853962156118,2.3589311702516738
93,0.0038446341175585397,0.0039025386465949977,0.0037867295885220817,0.16036841720342634,0.1608297114559471,0.1599071229509056,0.840732318162918,0.8477770088101012,0.8336876275157349,2.3562490224838255,2.3757279349835585,2.3367701099840925
94,0.004021599912084591,0.004079389210076463,0.003963810614092718,0.15607900619506837,0.15654223196102734,0.1556157804291094,0.8251257002353668,0.8325528884804018,0.8176985119903318,2.3324511766433718,2.352394232359312,2.3125081209274314
95,0.00420288676396006,0.0042613571625000814,0.004144416365420038,0.15192039906978602,0.1523645159998669,0.15147628213970515,0.8094288885593415,0.8167850446113842,0.8020727325072987,2.3097198724746706,2.329977637913404,2.2894621070359373
