iter,algo_R_local_0.0_mean,algo_R_local_0.0_upper,algo_R_local_0.0_lower,algo_R_local_1.0_mean,algo_R_local_1.0_upper,algo_R_local_1.0_lower,algo_R_local_3.0_mean,algo_R_local_3.0_upper,algo_R_local_3.0_lower,algo_R_local_5.0_mean,algo_R_local_5.0_upper,algo_R_local_5.0_lower
74,0.29460451006889343,0.2955686442389142,0.29364037589887265,0.17447505146265027,0.17526319284302458,0.17368691008227596,0.17299357205629348,0.17355502332301462,0.17243212078957235,0.18657758831977844,0.18722117287611056,0.18593400376344632
75,0.2838970422744751,0.28497150959150847,0.28282257495744173,0.17005866318941115,0.17077182819792777,0.16934549818089453,0.17061602920293806,0.17116614620784776,0.17006591219802836,0.18470676988363263,0.18535460173782042,0.18405893802944484
76,0.27430796027183535,0.2753024926266426,0.2733134279170281,0.1662046417593956,0.16691443926785457,0.1654948442509366,0.1684647783637047,0.16907518942299918,0.1678543673044102,0.18270663321018218,0.1833031007763394,0.18211016564402496
77,0.26453046798706054,0.26555265752564655,0.2635082784484745,0.1622841969132423,0.16286074867995204,0.16170764514653257,0.16608133018016813,0.16667189207061867,0.1654907682897176,0.18098973631858822,0.18150923114677164,0.1804702414904048
78,0.25503697991371155,0.25606592299128483,0.25400803683613826,0.15889980643987653,0.1594058502743598,0.15839376260539326,0.16395330280065534,0.16453077495072715,0.16337583065058353,0.1794321835041046,0.1799633520094715,0.17890101499873767
79,0.24645980149507518,0.24755228348378572,0.24536731950636465,0.15569240897893905,0.1562077682537699,0.1551770497041082,0.16190223991870875,0.16248070977706475,0.16132377006035276,0.17789110988378523,0.17838754550887617,0.1773946742586943
80,0.23780903518199917,0.2387902919528131,0.23682777841118524,0.1529561564326286,0.15352793643083204,0.15238437643442518,0.16013735979795454,0.16063710277619284,0.15963761681971625,0.1764224201440811,0.17693638129567246,0.17590845899248975
81,0.22996610999107356,0.23093858697113445,0.22899363301101266,0.1502856612205505,0.15080162511222553,0.1497696973288755,0.15836042016744611,0.1588694587381754,0.15785138159671683,0.17492853999137875,0.17547714688533378,0.17437993309742372
82,0.22224835902452464,0.22319727011723786,0.22129944793181142,0.14761506021022794,0.14814427742212913,0.14708584299832675,0.15673236995935436,0.15722485981577097,0.15623988010293774,0.17356513887643812,0.17416732143783573,0.17296295631504052
83,0.21541906893253326,0.21616323543154548,0.21467490243352105,0.14527440518140788,0.14572567632939099,0.14482313403342478,0.15525928437709804,0.15571914866537565,0.15479942008882044,0.17219740748405454,0.1727876509341089,0.1716071640340002
84,0.2082595214247703,0.20897328693231,0.20754575591723062,0.14275724589824673,0.14311916831198054,0.14239532348451292,0.15357226878404615,0.15402107973967055,0.15312345782842174,0.17085728049278257,0.17144073815644112,0.170273822829124
85,0.2023080512881279,0.2030610656681284,0.2015550369081274,0.14050775319337844,0.14095863426456362,0.14005687212219325,0.1519650414586067,0.15248825594124013,0.15144182697597328,0.1695158794522285,0.1701633702852838,0.16886838861917322
86,0.1963381737470627,0.19705154933486474,0.19562479815926065,0.13833860158920286,0.13874856698005497,0.13792863619835075,0.15061019212007523,0.1511017779395057,0.15011860630064477,0.1681573763489723,0.16877797778861559,0.167536774909329
87,0.19047752469778062,0.1911811964396377,0.18977385295592353,0.13613493144512173,0.13650905866536298,0.1357608042248805,0.14944840967655182,0.14990066280743103,0.1489961565456726,0.16707600206136702,0.16777560624165921,0.16637639788107483
88,0.18511096090078355,0.18566264553291661,0.18455927626865049,0.13411293625831602,0.13453979473235045,0.1336860777842816,0.1482040002942085,0.14872001552395517,0.14768798506446182,0.16616508215665815,0.16678493855642232,0.16554522575689398
89,0.17953962385654448,0.18007862091219465,0.17900062680089432,0.13217782527208327,0.13266988967844956,0.13168576086571698,0.14699958115816114,0.14746453110930235,0.14653463120701993,0.16492971777915952,0.16550463856742723,0.1643547969908918
90,0.17425455152988434,0.1747369155753017,0.173772187484467,0.1302404388785362,0.1307043714636854,0.129776506293387,0.14603785723447799,0.1465257554751361,0.14554995899381987,0.16380408704280852,0.16434572799464153,0.1632624460909755
