iter,data_noise_scale_0.1_mean,data_noise_scale_0.1_upper,data_noise_scale_0.1_lower,data_noise_scale_0.5_mean,data_noise_scale_0.5_upper,data_noise_scale_0.5_lower,data_noise_scale_1.0_mean,data_noise_scale_1.0_upper,data_noise_scale_1.0_lower,data_noise_scale_1.5_mean,data_noise_scale_1.5_upper,data_noise_scale_1.5_lower
58,0.5670027554035186,0.5686955878950843,0.5653099229119529,0.5715433657169342,0.5733408233723915,0.569745908061477,0.5975160996119181,0.5999992583813207,0.5950329408425155,0.6530148684978485,0.6552571265637729,0.6507726104319241
59,0.5428198993206024,0.5442910550918943,0.5413487435493104,0.5474540174007416,0.5492597885703585,0.5456482462311247,0.5726390480995178,0.5748514606805009,0.5704266355185348,0.6339056611061096,0.6361598127122933,0.6316515094999259
60,0.5203214883804321,0.521562378937643,0.5190805978232212,0.5253631711006165,0.5267618412736246,0.5239645009276084,0.5522757371266683,0.554495588224891,0.5500558860284457,0.6139230489730835,0.6158912682033145,0.6119548297428524
61,0.4983880132436752,0.4997399901563258,0.4970360363310246,0.5041862517595291,0.5057204286965185,0.5026520748225398,0.5307981769243876,0.5333209097425915,0.5282754441061837,0.5969932675361633,0.599337615370586,0.5946489197017406
62,0.4771423727273941,0.4783569526149837,0.4759277928398046,0.48348028063774107,0.4850710364558869,0.48188952481959524,0.5118198394775391,0.5129088426176134,0.5107308363374647,0.5797634959220886,0.5822195647711552,0.5773074270730221
63,0.4576269418001175,0.4586999436382329,0.45655393996200205,0.4644098371267319,0.4661531177479406,0.4626665565055232,0.4945349097251892,0.4964514978149801,0.4926183216353983,0.5636282563209534,0.5657820217081394,0.5614744909337673
64,0.4387470245361328,0.43974520074576623,0.43774884832649935,0.4460223466157913,0.4477273473595158,0.44431734587206684,0.4773903687795003,0.47957517444315484,0.4752055631158458,0.5473817348480224,0.5495084747308108,0.5452549949652341
65,0.4212112814188004,0.42222844693948886,0.4201941158981119,0.4286847174167633,0.4304359201944148,0.4269335146391118,0.4608438511689504,0.4635568913393624,0.45813081099853836,0.5333445549011231,0.5351412000200575,0.5315479097821887
66,0.4042732179164886,0.40525452920738203,0.4032919066255952,0.41233494877815247,0.41386583125765225,0.4108040662986527,0.4438228706518809,0.44678275480161755,0.4408629865021443,0.5190630435943604,0.5205465473941209,0.5175795397945999
67,0.3883682727813721,0.38938693455170964,0.38734961101103454,0.39706836044788363,0.39862340004334385,0.3955133208524234,0.4298726220925649,0.43308641048011043,0.42665883370501934,0.5066751718521119,0.5079927963865476,0.5053575473176761
68,0.3725855350494385,0.3736550270893542,0.37151604300952273,0.3822872042655945,0.3838161918059187,0.38075821672527027,0.41704534490903217,0.41993301433798746,0.41415767548007687,0.4955247938632965,0.49674665156421693,0.4943029361623761
69,0.35761753618717196,0.3586149811143861,0.3566200912599578,0.3679945170879364,0.36962784732648063,0.3663611868493922,0.4027721683184306,0.4063635225101552,0.39918081412670603,0.4838920056819916,0.48514751545291757,0.4826364959110656
70,0.3437460869550705,0.34470862912771283,0.3427835447824281,0.354767432808876,0.35643450059398213,0.3531003650237699,0.3917276362578073,0.3943414053686006,0.38911386714701407,0.47380143105983735,0.4751660393985733,0.4724368227211014
71,0.33116604685783385,0.3320046672987012,0.3303274264169665,0.34273031949996946,0.3442722016738492,0.3411884373260897,0.3812037507692973,0.3834460430625053,0.3789614584760893,0.4640416383743286,0.46519388360033886,0.46288939314831834
72,0.3182769477367401,0.3192346457439928,0.3173192497294874,0.33084786534309385,0.33234106162243177,0.32935466906375593,0.3709510266780853,0.3734742412540142,0.36842781210215647,0.45505934953689575,0.45643027681370446,0.45368842226008704
73,0.306277260184288,0.3074167306110046,0.30513778975757144,0.3193910360336304,0.32091479265490125,0.31786727941235954,0.35902683933575946,0.36147708944884405,0.3565765892226749,0.44561404287815093,0.44727609719608374,0.4439519885602181
74,0.29456759095191953,0.2957091887393446,0.29342599316449447,0.30830335021018984,0.30976613553524374,0.30684056488513595,0.3489270508289337,0.35110022329935,0.34675387835851745,0.4371483325958252,0.4387410708862274,0.435555594305423
75,0.2838487535715103,0.2850606133284528,0.2826368938145678,0.2981052339076996,0.2995936331537702,0.296616834661629,0.3393351038297017,0.3423166520357872,0.33635355562361624,0.42935440838336947,0.43093278661484197,0.42777603015189697
