iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
175,0.0011428114,0.0006630314,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
176,0.0011027488,0.00066916755,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
177,0.0010587102,0.00061073416,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
178,0.0010151304,0.0005732702,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
179,0.0009786651,0.00056471844,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
180,0.00094406534,0.0005684745,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
181,0.00091513875,0.00054790766,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
182,0.000884172,0.00055219943,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
183,0.0008537242,0.00053048565,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
184,0.00082730566,0.0005197729,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
185,0.0007950326,0.0004997585,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
186,0.000769021,0.00048853445,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
187,0.00074481015,0.00046309005,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
188,0.0007198424,0.00043152063,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
189,0.00069743756,0.00039935432,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
190,0.00067082874,0.00040462296,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
191,0.00064686895,0.0003948006,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
192,0.00062404573,0.00037333544,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
193,0.0006003325,0.00038421768,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
194,0.00058262143,0.0003521196,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
195,0.0005634046,0.00034307552,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
196,0.00053745625,0.00033084725,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
197,0.00051696674,0.0003298157,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
198,0.0004983587,0.0003038898,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
199,0.00048260432,0.00028411878,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
200,0.00046620888,0.00026580304,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
201,0.00044933704,0.0002606848,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
202,0.00043550902,0.0002448117,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
203,0.00042177117,0.00024046445,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
204,0.00041092522,0.00022967829,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
205,0.00039495388,0.00021651061,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
206,0.00038366718,0.00020584185,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
207,0.00037353582,0.00021788482,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
208,0.00035925646,0.00021521313,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
209,0.00034517804,0.00019042699,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
210,0.00033190064,0.00017861398,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
211,0.0003164032,0.00018789897,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
212,0.0003033405,0.0001812921,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
213,0.00029346463,0.00017132844,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
214,0.00028336205,0.00016211261,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
215,0.00027143495,0.00014520518,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
216,0.00026079462,0.00015256643,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
217,0.00025158087,0.0001432702,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
218,0.00024319087,0.00013488189,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
219,0.0002355634,0.00012876894,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
220,0.00022903798,0.000122195,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
221,0.00022152069,0.00011822711,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
222,0.00021465759,0.00011652626,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
223,0.00020756085,0.000108614404,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
224,0.00020062563,0.00010329109,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
225,0.00019508343,9.8599194e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
226,0.00018906922,9.352441e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
227,0.00018310516,9.4086194e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
228,0.0001789149,8.8455614e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
229,0.00017315187,8.591061e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
230,0.00016737645,8.977375e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
231,0.00016198267,8.261027e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
232,0.0001559709,7.94168e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
233,0.00015067459,7.5307464e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
234,0.00014657629,7.3750685e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
235,0.00014212306,7.695283e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
236,0.0001376095,7.554139e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
237,0.0001332944,7.193058e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
