iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
129,0.001789328,0.0029261208,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
130,0.0016783846,0.00274817,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
131,0.0015743249,0.0025689183,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
132,0.0014787142,0.0024072712,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
133,0.0013889766,0.0022594966,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
134,0.0013018975,0.0021172308,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
135,0.001222971,0.001987731,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
136,0.0011467872,0.0018619827,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
137,0.0010764393,0.0017456968,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
138,0.0010103547,0.0016376,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
139,0.00094724825,0.0015324136,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
140,0.00088827347,0.0014363495,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
141,0.0008333456,0.0013446722,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
142,0.00078065187,0.0012579456,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
143,0.0007319428,0.0011778866,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
144,0.0006861151,0.0011053326,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
145,0.00064452837,0.001036805,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
146,0.0006068032,0.00097458815,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
147,0.00057049555,0.0009147209,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
148,0.0005353413,0.0008583036,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
149,0.0005028944,0.0008081627,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
150,0.00047183037,0.0007578515,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
151,0.00044305375,0.00071196415,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
